clip,true_label,clean_probability,clean_predicted,sliding_max_probability,sliding_peak_window_index,sliding_predicted,first_alarm_window,first_alarm_frame,first_alarm_seconds,agreement
val/Val_Fight/1MVS2QPWbHc_1.avi,Fight,0.306628,Fight,0.040166,15,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/48J5lk4QcpE_3.avi,Fight,0.984816,Fight,0.076118,5,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/6Rl7q_kXYbg_3.avi,Fight,0.997568,Fight,0.037177,12,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/6Rl7q_kXYbg_4.avi,Fight,0.428498,Fight,0.012135,0,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/6Rl7q_kXYbg_5.avi,Fight,0.990055,Fight,0.036452,8,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/7gLKFV5voOg_0.avi,Fight,0.995686,Fight,0.034594,9,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/7gLKFV5voOg_1.avi,Fight,0.976637,Fight,0.077399,1,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/I-QiUMPTWNE_2.avi,Fight,0.903681,Fight,0.002844,16,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/I-QiUMPTWNE_3.avi,Fight,0.999605,Fight,0.118858,4,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/I-QiUMPTWNE_4.avi,Fight,0.996108,Fight,0.07557,7,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/I-QiUMPTWNE_5.avi,Fight,0.505475,Fight,0.029683,0,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/I-QiUMPTWNE_6.avi,Fight,0.933251,Fight,0.006109,15,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/I-QiUMPTWNE_7.avi,Fight,0.992718,Fight,0.052922,9,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/MxkTo5F-nvU_0.avi,Fight,0.856627,Fight,0.038953,0,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/MxkTo5F-nvU_1.avi,Fight,0.518927,Fight,0.015094,16,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/MxkTo5F-nvU_4.avi,Fight,0.998252,Fight,0.073393,7,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/Qtcwz_K2Gvo_1.avi,Fight,0.961513,Fight,0.090287,4,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/RIXaF_TkLlU_4.avi,Fight,0.999415,Fight,0.102445,0,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/RIXaF_TkLlU_5.avi,Fight,0.515555,Fight,0.136589,5,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/XM0NI7ZmwWM_2.avi,Fight,0.914163,Fight,0.006179,16,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/YDOJvzChqSg_3.avi,Fight,0.865312,Fight,0.075897,12,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/etyiEs3j8x8_2.avi,Fight,0.260256,Fight,0.090803,9,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/g-qjkePEXQA_1.avi,Fight,0.997346,Fight,0.054514,16,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/g6jdqkcdgqk_1.avi,Fight,0.991416,Fight,0.064727,8,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/g6jdqkcdgqk_4.avi,Fight,0.243118,Fight,0.012469,2,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/g6jdqkcdgqk_5.avi,Fight,1.0,Fight,0.122621,16,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/mwuiYEBdkJs_1.avi,Fight,0.999994,Fight,0.0701,0,NonFight,,,,clean_correct_sliding_wrong
val/Val_Fight/y_vX9FtjLaQ_5.avi,Fight,0.862942,Fight,0.03473,15,NonFight,,,,clean_correct_sliding_wrong
