split,clip,window_index,first_frame,last_frame,true_label,fight_probability
carve,train/Train_Fight/1tU4kxa51vw_1.avi,0,0,15,Fight,0.001498
carve,train/Train_Fight/1tU4kxa51vw_1.avi,1,8,23,Fight,0.089340
carve,train/Train_Fight/1tU4kxa51vw_1.avi,2,16,31,Fight,0.007167
carve,train/Train_Fight/1tU4kxa51vw_1.avi,3,24,39,Fight,0.008716
carve,train/Train_Fight/1tU4kxa51vw_1.avi,4,32,47,Fight,0.019968
carve,train/Train_Fight/1tU4kxa51vw_1.avi,5,40,55,Fight,0.215259
carve,train/Train_Fight/1tU4kxa51vw_1.avi,6,48,63,Fight,0.903101
carve,train/Train_Fight/1tU4kxa51vw_1.avi,7,56,71,Fight,0.987565
carve,train/Train_Fight/1tU4kxa51vw_1.avi,8,64,79,Fight,0.973096
carve,train/Train_Fight/1tU4kxa51vw_1.avi,9,72,87,Fight,0.576967
carve,train/Train_Fight/1tU4kxa51vw_1.avi,10,80,95,Fight,0.061659
carve,train/Train_Fight/1tU4kxa51vw_1.avi,11,88,103,Fight,0.007001
carve,train/Train_Fight/1tU4kxa51vw_1.avi,12,96,111,Fight,0.001888
carve,train/Train_Fight/1tU4kxa51vw_1.avi,13,104,119,Fight,0.002988
carve,train/Train_Fight/1tU4kxa51vw_1.avi,14,112,127,Fight,0.001710
carve,train/Train_Fight/1tU4kxa51vw_1.avi,15,120,135,Fight,0.016631
carve,train/Train_Fight/1tU4kxa51vw_1.avi,16,128,143,Fight,0.025131
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,0,0,15,Fight,0.000442
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,1,8,23,Fight,0.002527
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,2,16,31,Fight,0.002889
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,3,24,39,Fight,0.003617
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,4,32,47,Fight,0.001876
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,5,40,55,Fight,0.002965
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,6,48,63,Fight,0.002954
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,7,56,71,Fight,0.030942
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,8,64,79,Fight,0.963652
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,9,72,87,Fight,0.968532
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,10,80,95,Fight,0.943301
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,11,88,103,Fight,0.599633
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,12,96,111,Fight,0.404719
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,13,104,119,Fight,0.901858
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,14,112,127,Fight,0.981325
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,15,120,135,Fight,0.991781
carve,train/Train_Fight/3CQi0ZCCHvc_0.avi,16,128,143,Fight,0.941931
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,0,0,15,Fight,0.996533
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,1,8,23,Fight,0.771824
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,2,16,31,Fight,0.885164
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,3,24,39,Fight,0.159387
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,4,32,47,Fight,0.646834
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,5,40,55,Fight,0.990828
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,6,48,63,Fight,0.977441
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,7,56,71,Fight,0.967948
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,8,64,79,Fight,0.755256
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,9,72,87,Fight,0.544061
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,10,80,95,Fight,0.547443
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,11,88,103,Fight,0.986269
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,12,96,111,Fight,0.992219
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,13,104,119,Fight,0.944139
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,14,112,127,Fight,0.718220
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,15,120,135,Fight,0.305817
carve,train/Train_Fight/3CQi0ZCCHvc_1.avi,16,128,143,Fight,0.913446
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,0,0,15,Fight,0.143757
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,1,8,23,Fight,0.095643
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,2,16,31,Fight,0.082965
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,3,24,39,Fight,0.067403
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,4,32,47,Fight,0.094568
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,5,40,55,Fight,0.089027
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,6,48,63,Fight,0.068419
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,7,56,71,Fight,0.155144
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,8,64,79,Fight,0.216859
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,9,72,87,Fight,0.026531
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,10,80,95,Fight,0.029609
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,11,88,103,Fight,0.033953
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,12,96,111,Fight,0.034304
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,13,104,119,Fight,0.013792
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,14,112,127,Fight,0.009425
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,15,120,135,Fight,0.016123
carve,train/Train_Fight/3CQi0ZCCHvc_2.avi,16,128,143,Fight,0.029068
carve,train/Train_Fight/6mrIIcAQ2fI_0.avi,0,0,15,Fight,0.078395
carve,train/Train_Fight/6mrIIcAQ2fI_0.avi,1,8,23,Fight,0.120766
carve,train/Train_Fight/6mrIIcAQ2fI_0.avi,2,16,31,Fight,0.056734
carve,train/Train_Fight/6mrIIcAQ2fI_0.avi,3,24,39,Fight,0.138015
carve,train/Train_Fight/6mrIIcAQ2fI_0.avi,4,32,47,Fight,0.137017
