split,clip,window_index,first_frame,last_frame,true_label,fight_probability
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,0,0,15,Fight,0.002352
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,1,8,23,Fight,0.000765
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,2,16,31,Fight,0.001772
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,3,24,39,Fight,0.002062
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,4,32,47,Fight,0.004452
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,5,40,55,Fight,0.005656
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,6,48,63,Fight,0.006971
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,7,56,71,Fight,0.017806
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,8,64,79,Fight,0.006399
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,9,72,87,Fight,0.005087
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,10,80,95,Fight,0.007998
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,11,88,103,Fight,0.006178
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,12,96,111,Fight,0.025196
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,13,104,119,Fight,0.109516
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,14,112,127,Fight,0.099852
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,15,120,135,Fight,0.410602
primary,val/Val_Fight/0Ow4cotKOuw_0.avi,16,128,143,Fight,0.564796
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,0,0,15,Fight,0.248246
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,1,8,23,Fight,0.250584
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,2,16,31,Fight,0.155496
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,3,24,39,Fight,0.196206
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,4,32,47,Fight,0.268772
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,5,40,55,Fight,0.082100
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,6,48,63,Fight,0.039957
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,7,56,71,Fight,0.020612
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,8,64,79,Fight,0.004739
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,9,72,87,Fight,0.015887
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,10,80,95,Fight,0.029186
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,11,88,103,Fight,0.006495
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,12,96,111,Fight,0.007598
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,13,104,119,Fight,0.005447
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,14,112,127,Fight,0.009595
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,15,120,135,Fight,0.007728
primary,val/Val_Fight/0Ow4cotKOuw_1.avi,16,128,143,Fight,0.004651
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,0,0,15,Fight,0.273290
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,1,8,23,Fight,0.146521
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,2,16,31,Fight,0.235232
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,3,24,39,Fight,0.531760
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,4,32,47,Fight,0.031309
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,5,40,55,Fight,0.087589
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,6,48,63,Fight,0.226837
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,7,56,71,Fight,0.412699
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,8,64,79,Fight,0.956242
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,9,72,87,Fight,0.977756
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,10,80,95,Fight,0.212268
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,11,88,103,Fight,0.190618
